time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1704067200000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11001,11001
1704070800000,BTC,A,41000,0.01,Close Long,10,0.0400,USDC,0.01,0xh11002,11002
1704074400000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11003,11003
1704078000000,BTC,A,40000,0.01,Close Long,0,0.0400,USDC,0.01,0xh11004,11004
1704081600000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11005,11005
1704085200000,BTC,A,41000,0.01,Close Long,10,0.0400,USDC,0.01,0xh11006,11006
1704088800000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11007,11007
1704092400000,BTC,A,40000,0.01,Close Long,0,0.0400,USDC,0.01,0xh11008,11008
1704096000000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11009,11009
1704099600000,BTC,A,41000,0.01,Close Long,10,0.0400,USDC,0.01,0xh11010,11010
1704103200000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11011,11011
1704106800000,BTC,A,40000,0.01,Close Long,0,0.0400,USDC,0.01,0xh11012,11012
1704110400000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11013,11013
1704114000000,BTC,A,41000,0.01,Close Long,10,0.0400,USDC,0.01,0xh11014,11014
1704117600000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11015,11015
1704121200000,BTC,A,40000,0.01,Close Long,0,0.0400,USDC,0.01,0xh11016,11016
1704124800000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11017,11017
1704128400000,BTC,A,41000,0.01,Close Long,10,0.0400,USDC,0.01,0xh11018,11018
1704132000000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11019,11019
1704135600000,BTC,A,40000,0.01,Close Long,0,0.0400,USDC,0.01,0xh11020,11020
1704139200000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11021,11021
1704142800000,BTC,A,41000,0.01,Close Long,10,0.0400,USDC,0.01,0xh11022,11022
1704146400000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11023,11023
1704150000000,BTC,A,40000,0.01,Close Long,0,0.0400,USDC,0.01,0xh11024,11024
1704153600000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11025,11025
1704157200000,BTC,A,41000,0.01,Close Long,10,0.0400,USDC,0.01,0xh11026,11026
1704160800000,BTC,B,40000,0.01,Open Long,0,0.0400,USDC,0,0xh11027,11027
1704164400000,BTC,A,40000,0.01,Close Long,0,0.0400,USDC,0.01,0xh11028,11028
