time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1704099600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4001,4001
1704101400000,BTC,A,40050,0.01,Close Long,5,0.2,USDC,0.01,0xh4002,4002
1704186000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4003,4003
1704187800000,BTC,A,40050,0.01,Close Long,5,0.2,USDC,0.01,0xh4004,4004
1704272400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4005,4005
1704274200000,BTC,A,40050,0.01,Close Long,5,0.2,USDC,0.01,0xh4006,4006
1704358800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4007,4007
1704360600000,BTC,A,39970,0.01,Close Long,-3,0.2,USDC,0.01,0xh4008,4008
1704445200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4009,4009
1704447000000,BTC,A,40050,0.01,Close Long,5,0.2,USDC,0.01,0xh4010,4010
1704531600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4011,4011
1704533400000,BTC,A,40050,0.01,Close Long,5,0.2,USDC,0.01,0xh4012,4012
1704618000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4013,4013
1704619800000,BTC,A,39970,0.01,Close Long,-3,0.2,USDC,0.01,0xh4014,4014
1704704400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4015,4015
1704706200000,BTC,A,40050,0.01,Close Long,5,0.2,USDC,0.01,0xh4016,4016
1704790800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4017,4017
1704792600000,BTC,A,40050,0.01,Close Long,5,0.2,USDC,0.01,0xh4018,4018
1704877200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4019,4019
1704879000000,BTC,A,40050,0.01,Close Long,5,0.2,USDC,0.01,0xh4020,4020
1704963600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4021,4021
1704965400000,BTC,A,40050,0.01,Close Long,5,0.2,USDC,0.01,0xh4022,4022
1705050000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4023,4023
1705051800000,BTC,A,39970,0.01,Close Long,-3,0.2,USDC,0.01,0xh4024,4024
1704117600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4025,4025
1704119400000,BTC,A,40060,0.01,Close Long,6,0.2,USDC,0.01,0xh4026,4026
1704204000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4027,4027
1704205800000,BTC,A,40060,0.01,Close Long,6,0.2,USDC,0.01,0xh4028,4028
1704290400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4029,4029
1704292200000,BTC,A,40060,0.01,Close Long,6,0.2,USDC,0.01,0xh4030,4030
1704376800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4031,4031
1704378600000,BTC,A,39980,0.01,Close Long,-2,0.2,USDC,0.01,0xh4032,4032
1704463200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4033,4033
1704465000000,BTC,A,40060,0.01,Close Long,6,0.2,USDC,0.01,0xh4034,4034
1704549600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4035,4035
1704551400000,BTC,A,40060,0.01,Close Long,6,0.2,USDC,0.01,0xh4036,4036
1704636000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4037,4037
1704637800000,BTC,A,39980,0.01,Close Long,-2,0.2,USDC,0.01,0xh4038,4038
1704722400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4039,4039
1704724200000,BTC,A,40060,0.01,Close Long,6,0.2,USDC,0.01,0xh4040,4040
1704808800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4041,4041
1704810600000,BTC,A,40060,0.01,Close Long,6,0.2,USDC,0.01,0xh4042,4042
1704895200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4043,4043
1704897000000,BTC,A,40060,0.01,Close Long,6,0.2,USDC,0.01,0xh4044,4044
1704981600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4045,4045
1704983400000,BTC,A,40060,0.01,Close Long,6,0.2,USDC,0.01,0xh4046,4046
1705068000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4047,4047
1705069800000,BTC,A,39980,0.01,Close Long,-2,0.2,USDC,0.01,0xh4048,4048
1704124800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4049,4049
1704126600000,BTC,A,40040,0.01,Close Long,4,0.2,USDC,0.01,0xh4050,4050
1704211200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4051,4051
1704213000000,BTC,A,40040,0.01,Close Long,4,0.2,USDC,0.01,0xh4052,4052
1704297600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4053,4053
1704299400000,BTC,A,40040,0.01,Close Long,4,0.2,USDC,0.01,0xh4054,4054
1704384000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4055,4055
1704385800000,BTC,A,39980,0.01,Close Long,-2,0.2,USDC,0.01,0xh4056,4056
1704470400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4057,4057
1704472200000,BTC,A,40040,0.01,Close Long,4,0.2,USDC,0.01,0xh4058,4058
1704556800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4059,4059
1704558600000,BTC,A,40040,0.01,Close Long,4,0.2,USDC,0.01,0xh4060,4060
1704643200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4061,4061
1704645000000,BTC,A,39980,0.01,Close Long,-2,0.2,USDC,0.01,0xh4062,4062
1704729600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4063,4063
1704731400000,BTC,A,40040,0.01,Close Long,4,0.2,USDC,0.01,0xh4064,4064
1704816000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4065,4065
1704817800000,BTC,A,40040,0.01,Close Long,4,0.2,USDC,0.01,0xh4066,4066
1704902400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4067,4067
1704904200000,BTC,A,40040,0.01,Close Long,4,0.2,USDC,0.01,0xh4068,4068
1704988800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4069,4069
1704990600000,BTC,A,40040,0.01,Close Long,4,0.2,USDC,0.01,0xh4070,4070
1705075200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4071,4071
1705077000000,BTC,A,39980,0.01,Close Long,-2,0.2,USDC,0.01,0xh4072,4072
1704146400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4073,4073
1704148200000,BTC,A,39700,0.01,Close Long,-30,0.2,USDC,0.01,0xh4074,4074
1704232800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4075,4075
1704234600000,BTC,A,39700,0.01,Close Long,-30,0.2,USDC,0.01,0xh4076,4076
1704319200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4077,4077
1704321000000,BTC,A,39700,0.01,Close Long,-30,0.2,USDC,0.01,0xh4078,4078
1704405600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4079,4079
1704407400000,BTC,A,40100,0.01,Close Long,10,0.2,USDC,0.01,0xh4080,4080
1704492000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4081,4081
1704493800000,BTC,A,39700,0.01,Close Long,-30,0.2,USDC,0.01,0xh4082,4082
1704578400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4083,4083
1704580200000,BTC,A,39700,0.01,Close Long,-30,0.2,USDC,0.01,0xh4084,4084
1704664800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4085,4085
1704666600000,BTC,A,40100,0.01,Close Long,10,0.2,USDC,0.01,0xh4086,4086
1704751200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4087,4087
1704753000000,BTC,A,39700,0.01,Close Long,-30,0.2,USDC,0.01,0xh4088,4088
1704837600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4089,4089
1704839400000,BTC,A,39700,0.01,Close Long,-30,0.2,USDC,0.01,0xh4090,4090
1704924000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4091,4091
1704925800000,BTC,A,39700,0.01,Close Long,-30,0.2,USDC,0.01,0xh4092,4092
1705010400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4093,4093
1705012200000,BTC,A,39700,0.01,Close Long,-30,0.2,USDC,0.01,0xh4094,4094
1705096800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh4095,4095
1705098600000,BTC,A,40100,0.01,Close Long,10,0.2,USDC,0.01,0xh4096,4096
