time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1704067200000,BTC,B,40000,0.01,Open Long,0,2.0,USDC,0,0xh8001,8001
1704068400000,BTC,A,40030,0.01,Close Long,0.3,2.0,USDC,0.01,0xh8002,8002
1704070800000,BTC,B,40000,0.01,Open Long,0,2.0,USDC,0,0xh8003,8003
1704072000000,BTC,A,40040,0.01,Close Long,0.4,2.0,USDC,0.01,0xh8004,8004
1704074400000,BTC,B,40000,0.01,Open Long,0,2.0,USDC,0,0xh8005,8005
1704075600000,BTC,A,40035,0.01,Close Long,0.35,2.0,USDC,0.01,0xh8006,8006
1704078000000,BTC,B,40000,0.01,Open Long,0,2.0,USDC,0,0xh8007,8007
1704079200000,BTC,A,40030,0.01,Close Long,0.3,2.0,USDC,0.01,0xh8008,8008
1704081600000,BTC,B,40000,0.01,Open Long,0,2.0,USDC,0,0xh8009,8009
1704082800000,BTC,A,40050,0.01,Close Long,0.5,2.0,USDC,0.01,0xh8010,8010
1704085200000,BTC,B,40000,0.01,Open Long,0,2.0,USDC,0,0xh8011,8011
1704086400000,BTC,A,40040,0.01,Close Long,0.4,2.0,USDC,0.01,0xh8012,8012
1704088800000,BTC,B,40000,0.01,Open Long,0,2.0,USDC,0,0xh8013,8013
1704090000000,BTC,A,40035,0.01,Close Long,0.35,2.0,USDC,0.01,0xh8014,8014
1704092400000,BTC,B,40000,0.01,Open Long,0,2.0,USDC,0,0xh8015,8015
1704093600000,BTC,A,40030,0.01,Close Long,0.3,2.0,USDC,0.01,0xh8016,8016
1704096000000,BTC,B,40000,0.01,Open Long,0,2.0,USDC,0,0xh8017,8017
1704097200000,BTC,A,40045,0.01,Close Long,0.45,2.0,USDC,0.01,0xh8018,8018
1704099600000,BTC,B,40000,0.01,Open Long,0,2.0,USDC,0,0xh8019,8019
1704100800000,BTC,A,40040,0.01,Close Long,0.4,2.0,USDC,0.01,0xh8020,8020
