time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1773995535000,BTC,B,96800.0,0.02,Open Long,0.0,0.8712,USDC,0.0,0x4a7c9e1b2d3f5a6c8e9f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d,200001
1774018042000,BTC,A,97450.0,0.02,Close Long,13.0,0.87705,USDC,0.02,0x8f1e2d3c4b5a69780f1e2d3c4b5a69780f1e2d3c4b5a69780f1e2d3c4b5a6978,200002
1774084504000,ETH,B,3320.0,1.5,Open Long,0.0,2.241,USDC,0.0,0x12ab34cd56ef78901234ab56cd78ef901234ab56cd78ef901234ab56cd78ef90,200003
1774117960000,ETH,A,3485.0,1.5,Close Long,247.5,2.352375,USDC,1.5,0xdeadbeef1234567890abcdef1234567890abcdef1234567890abcdef12345678,200004
1774178411000,SOL,A,205.0,20.0,Open Short,0.0,1.845,USDC,0.0,0xcafe0001feed0002babe0003face0004dead0005beef0006f00d0007a11ce008,200005
1774198133000,SOL,B,198.0,20.0,Close Short,140.0,1.782,USDC,-20.0,0xb0bafe77b0bafe77b0bafe77b0bafe77b0bafe77b0bafe77b0bafe77b0bafe77,200006
1774260138000,HYPE,B,28.5,100.0,Open Long,0.0,1.2825,USDC,0.0,0x7c0ffee700112233445566778899aabbccddeeff00112233445566778899aabb,200007
1774260845000,HYPE,B,28.1,100.0,Open Long,0.0,1.2645,USDC,100.0,0x1a2b3c4d5e6f708192a3b4c5d6e7f8091a2b3c4d5e6f708192a3b4c5d6e7f809,200008
1774280670000,HYPE,A,29.3,200.0,Close Long,200.0,2.637,USDC,200.0,0xbeaded00beaded00beaded00beaded00beaded00beaded00beaded00beaded00,200009
1774338912000,BTC,A,98200.0,0.015,Open Short,0.0,0.662850,USDC,0.0,0x5ea51de5ea51de5ea51de5ea51de5ea51de5ea51de5ea51de5ea51de5ea51de5,200010
1774343927000,BTC,B,99100.0,0.015,Close Short,-13.5,0.668925,USDC,-0.015,0x9c8b7a6c5d4e3f2a1b0c9d8e7f6a5b4c3d2e1f0a9b8c7d6e5f4a3b2c1d0e9f8a,200011
1774441800000,AVAX,B,38.4,30.0,Open Long,0.0,0.5184,USDC,0.0,0x3f2e1d0c9b8a7968574635241302f1e0d9c8b7a695847362514030f1e0d9c8b7,200012
1774458622000,AVAX,A,39.5,15.0,Close Long,16.5,0.266625,USDC,30.0,0x6f7e8d9cabcdef0123456789abcdef0123456789abcdef0123456789abcdef01,200013
1774471515000,AVAX,A,40.2,15.0,Close Long,27.0,0.271350,USDC,15.0,0xabcde0123456789fabcde0123456789fabcde0123456789fabcde0123456789f,200014
1774512764000,ETH,B,3520.0,1.0,Open Long,0.0,1.584,USDC,0.0,0x1234567890abcdef1234567890abcdef1234567890abcdef1234567890abcdef,200015
1774531503000,ETH,A,3455.0,1.0,Close Long,-65.0,1.554975,USDC,1.0,0xfacefeedfacefeedfacefeedfacefeedfacefeedfacefeedfacefeedfacefeed,200016
1774694429000,ARB,A,1.18,5000.0,Open Short,0.0,2.655,USDC,0.0,0x0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,200017
1774725535000,ARB,B,1.12,5000.0,Close Short,300.0,2.520,USDC,-5000.0,0xfedcba9876543210fedcba9876543210fedcba9876543210fedcba9876543210,200018
1774769418000,BTC,B,97200.0,0.03,Open Long,0.0,1.31220,USDC,0.0,0x2468ace02468ace02468ace02468ace02468ace02468ace02468ace02468ace0,200019
