time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1706745600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12001,12001
1706749200000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12002,12002
1706572800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12003,12003
1706576400000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12004,12004
1706400000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12005,12005
1706403600000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12006,12006
1706227200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12007,12007
1706230800000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12008,12008
1706054400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12009,12009
1706058000000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12010,12010
1705881600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12011,12011
1705885200000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12012,12012
1705708800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12013,12013
1705712400000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12014,12014
1705536000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12015,12015
1705539600000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12016,12016
1705363200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12017,12017
1705366800000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12018,12018
1705190400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12019,12019
1705194000000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12020,12020
1705017600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12021,12021
1705021200000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12022,12022
1704844800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh12023,12023
1704848400000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh12024,12024
1709164800000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12025,12025
1709168400000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12026,12026
1708992000000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12027,12027
1708995600000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12028,12028
1708819200000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12029,12029
1708822800000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12030,12030
1708646400000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12031,12031
1708650000000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12032,12032
1708473600000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12033,12033
1708477200000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12034,12034
1708300800000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12035,12035
1708304400000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12036,12036
1708128000000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12037,12037
1708131600000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12038,12038
1707955200000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12039,12039
1707958800000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12040,12040
1707782400000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12041,12041
1707786000000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12042,12042
1707609600000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12043,12043
1707613200000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12044,12044
1707436800000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12045,12045
1707440400000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12046,12046
1707264000000,BTC,B,40000,0.015,Open Long,0,0.3,USDC,0,0xh12047,12047
1707267600000,BTC,A,40100,0.015,Close Long,1.5,0.30075,USDC,0.015,0xh12048,12048
