time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1704070800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7001,7001
1704072600000,BTC,A,39500,0.01,Close Long,-5,0.1975,USDC,0.01,0xh7002,7002
1704074400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7003,7003
1704076200000,BTC,A,39500,0.01,Close Long,-5,0.1975,USDC,0.01,0xh7004,7004
1704157200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7005,7005
1704158400000,BTC,A,39700,0.01,Close Long,-3,0.2,USDC,0.01,0xh7006,7006
1704160800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7007,7007
1704162000000,BTC,A,40100,0.01,Close Long,1,0.2,USDC,0.01,0xh7008,7008
1704164400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7009,7009
1704165600000,BTC,A,39700,0.01,Close Long,-3,0.2,USDC,0.01,0xh7010,7010
1704168000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7011,7011
1704169200000,BTC,A,40100,0.01,Close Long,1,0.2,USDC,0.01,0xh7012,7012
1704171600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7013,7013
1704172800000,BTC,A,39700,0.01,Close Long,-3,0.2,USDC,0.01,0xh7014,7014
1704175200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7015,7015
1704176400000,BTC,A,40100,0.01,Close Long,1,0.2,USDC,0.01,0xh7016,7016
1704243600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7017,7017
1704245400000,BTC,A,39500,0.01,Close Long,-5,0.1975,USDC,0.01,0xh7018,7018
1704247200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7019,7019
1704249000000,BTC,A,39500,0.01,Close Long,-5,0.1975,USDC,0.01,0xh7020,7020
1704330000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7021,7021
1704331200000,BTC,A,39700,0.01,Close Long,-3,0.2,USDC,0.01,0xh7022,7022
1704333600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7023,7023
1704334800000,BTC,A,40100,0.01,Close Long,1,0.2,USDC,0.01,0xh7024,7024
1704337200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7025,7025
1704338400000,BTC,A,39700,0.01,Close Long,-3,0.2,USDC,0.01,0xh7026,7026
1704340800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7027,7027
1704342000000,BTC,A,40100,0.01,Close Long,1,0.2,USDC,0.01,0xh7028,7028
1704344400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7029,7029
1704345600000,BTC,A,39700,0.01,Close Long,-3,0.2,USDC,0.01,0xh7030,7030
1704348000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh7031,7031
