Date(UTC),Pair,Side,Price,Executed,Amount,Fee,Fee Coin
2026-04-08 09:15:00,BTCUSDT,BUY,93500.00,0.05000000,4675.00,0.00005000,BTC
2026-04-08 11:42:00,BTCUSDT,SELL,94750.00,0.05000000,4737.50,0.00005000,BTC
2026-04-09 14:20:00,ETHUSDT,BUY,3210.00,1.50000000,4815.00,0.00150000,ETH
2026-04-09 18:05:00,ETHUSDT,SELL,3175.00,1.50000000,4762.50,0.00150000,ETH
2026-04-10 08:30:00,SOLUSDT,BUY,182.50,25.00000000,4562.50,0.02500000,SOL
2026-04-10 13:15:00,SOLUSDT,SELL,189.20,25.00000000,4730.00,0.02500000,SOL
2026-04-11 10:45:00,BTCUSDT,BUY,95100.00,0.04000000,3804.00,0.00004000,BTC
2026-04-11 16:20:00,BTCUSDT,SELL,93800.00,0.04000000,3752.00,0.00004000,BTC
2026-04-14 09:00:00,LINKUSDT,BUY,18.40,150.00000000,2760.00,0.15000000,LINK
2026-04-14 15:30:00,LINKUSDT,SELL,19.10,150.00000000,2865.00,0.15000000,LINK
2026-04-15 11:10:00,ETHUSDT,BUY,3290.00,1.20000000,3948.00,0.00120000,ETH
2026-04-15 16:55:00,ETHUSDT,SELL,3340.00,1.20000000,4008.00,0.00120000,ETH
2026-04-16 10:00:00,BTCUSDT,BUY,94200.00,0.06000000,5652.00,0.00006000,BTC
2026-04-16 14:30:00,BTCUSDT,SELL,93100.00,0.06000000,5586.00,0.00006000,BTC
2026-04-17 09:25:00,DOGEUSDT,BUY,0.18500000,15000.00000000,2775.00,15.00000000,DOGE
2026-04-17 12:40:00,DOGEUSDT,SELL,0.19200000,15000.00000000,2880.00,15.00000000,DOGE
2026-04-18 08:50:00,SOLUSDT,BUY,195.00,20.00000000,3900.00,0.02000000,SOL
2026-04-18 19:15:00,SOLUSDT,SELL,201.50,20.00000000,4030.00,0.02000000,SOL
2026-04-21 10:30:00,BTCUSDT,BUY,96000.00,0.05000000,4800.00,0.00005000,BTC
2026-04-21 11:05:00,BTCUSDT,SELL,95400.00,0.05000000,4770.00,0.00005000,BTC
