Time,Pair,Type,Side,Price,Executed,Amount,Fee,Fee Coin
2026-04-08 09:15:00,BTCUSDT,Limit,Buy,93500.00,0.0500,4675.00,0.000050,BTC
2026-04-08 11:42:00,BTCUSDT,Limit,Sell,94750.00,0.0500,4737.50,4.74,USDT
2026-04-09 14:20:00,ETHUSDT,Limit,Buy,3210.00,1.5000,4815.00,0.001500,ETH
2026-04-09 18:05:00,ETHUSDT,Limit,Sell,3175.00,1.5000,4762.50,4.76,USDT
2026-04-10 08:30:00,SOLUSDT,Limit,Buy,182.50,25.0000,4562.50,0.025000,SOL
2026-04-10 13:15:00,SOLUSDT,Limit,Sell,189.20,25.0000,4730.00,4.73,USDT
2026-04-11 10:45:00,BTCUSDT,Limit,Buy,95100.00,0.0400,3804.00,0.000040,BTC
2026-04-11 16:20:00,BTCUSDT,Limit,Sell,93800.00,0.0400,3752.00,3.75,USDT
2026-04-14 09:00:00,LINKUSDT,Limit,Buy,18.40,150.0000,2760.00,0.150000,LINK
2026-04-14 15:30:00,LINKUSDT,Limit,Sell,19.10,150.0000,2865.00,2.87,USDT
2026-04-15 11:10:00,ETHUSDT,Limit,Buy,3290.00,1.2000,3948.00,0.001200,ETH
2026-04-15 16:55:00,ETHUSDT,Limit,Sell,3340.00,1.2000,4008.00,4.01,USDT
2026-04-16 10:00:00,BTCUSDT,Limit,Buy,94200.00,0.0600,5652.00,0.000060,BTC
2026-04-16 14:30:00,BTCUSDT,Limit,Sell,93100.00,0.0600,5586.00,5.59,USDT
2026-04-17 09:25:00,DOGEUSDT,Limit,Buy,0.18500,15000.0000,2775.00,15.000000,DOGE
2026-04-17 12:40:00,DOGEUSDT,Limit,Sell,0.19200,15000.0000,2880.00,2.88,USDT
2026-04-18 08:50:00,SOLUSDT,Limit,Buy,195.00,20.0000,3900.00,0.020000,SOL
2026-04-18 19:15:00,SOLUSDT,Limit,Sell,201.50,20.0000,4030.00,4.03,USDT
2026-04-21 10:30:00,BTCUSDT,Limit,Buy,96000.00,0.0500,4800.00,0.000050,BTC
2026-04-21 11:05:00,BTCUSDT,Limit,Sell,95400.00,0.0500,4770.00,4.77,USDT
