time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1775903700000,BTC,B,93500.0,0.10,Open Long,0.0,4.68,USDC,0.0,0xhl9001,9001
1775912820000,BTC,A,94850.0,0.10,Close Long,135.0,4.74,USDC,0.10,0xhl9002,9002
1775997600000,ETH,A,3220.0,3.00,Open Short,0.0,4.83,USDC,0.0,0xhl9003,9003
1776013500000,ETH,B,3185.0,3.00,Close Short,105.0,4.78,USDC,-3.00,0xhl9004,9004
1776081000000,SOL,B,184.0,40.0,Open Long,0.0,3.68,USDC,0.0,0xhl9005,9005
1776097800000,SOL,A,189.5,40.0,Close Long,220.0,3.79,USDC,40.0,0xhl9006,9006
1776164100000,BTC,B,95000.0,0.08,Open Long,0.0,3.80,USDC,0.0,0xhl9007,9007
1776184800000,BTC,A,93800.0,0.08,Close Long,-96.0,3.75,USDC,0.08,0xhl9008,9008
1776424500000,HYPE,B,17.50,200.0,Open Long,0.0,1.40,USDC,0.0,0xhl9009,9009
1776444600000,HYPE,A,16.80,200.0,Close Long,-140.0,1.34,USDC,200.0,0xhl9010,9010
1776508200000,ETH,B,3290.0,2.50,Open Long,0.0,4.11,USDC,0.0,0xhl9011,9011
1776532500000,ETH,A,3355.0,2.50,Close Long,162.5,4.19,USDC,2.50,0xhl9012,9012
1776590700000,BTC,A,94500.0,0.12,Open Short,0.0,5.67,USDC,0.0,0xhl9013,9013
1776607200000,BTC,B,93800.0,0.12,Close Short,84.0,5.63,USDC,-0.12,0xhl9014,9014
1776676500000,ARB,B,0.62,8000.0,Open Long,0.0,2.48,USDC,0.0,0xhl9015,9015
1776692400000,ARB,A,0.595,8000.0,Close Long,-200.0,2.38,USDC,8000.0,0xhl9016,9016
1776760200000,SOL,B,196.0,30.0,Open Long,0.0,2.94,USDC,0.0,0xhl9017,9017
1776791700000,SOL,A,202.0,30.0,Close Long,180.0,3.03,USDC,30.0,0xhl9018,9018
1777019400000,BTC,B,96100.0,0.10,Open Long,0.0,4.81,USDC,0.0,0xhl9019,9019
1777021200000,BTC,A,95450.0,0.10,Close Long,-65.0,4.77,USDC,0.10,0xhl9020,9020
