time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1704067200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh9001,9001
1704070800000,BTC,B,39000,0.01,Add Long,0,0.195,USDC,0.01,0xh9002,9002
1704074400000,BTC,A,38500,0.02,Close Long,-25,0.385,USDC,0.02,0xh9003,9003
1704078000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh9004,9004
1704081600000,BTC,B,38500,0.01,Add Long,0,0.1925,USDC,0.01,0xh9005,9005
1704085200000,BTC,A,38000,0.02,Close Long,-35,0.38,USDC,0.02,0xh9006,9006
1704088800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh9007,9007
1704092400000,BTC,B,39200,0.01,Add Long,0,0.196,USDC,0.01,0xh9008,9008
1704096000000,BTC,A,39100,0.02,Close Long,-17,0.391,USDC,0.02,0xh9009,9009
1704099600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh9010,9010
1704103200000,BTC,B,38800,0.01,Add Long,0,0.194,USDC,0.01,0xh9011,9011
1704106800000,BTC,A,38700,0.02,Close Long,-25,0.387,USDC,0.02,0xh9012,9012
1704110400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh9013,9013
1704114000000,BTC,B,38600,0.01,Add Long,0,0.193,USDC,0.01,0xh9014,9014
1704117600000,BTC,A,38400,0.02,Close Long,-32,0.384,USDC,0.02,0xh9015,9015
1704121200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh9016,9016
1704124800000,BTC,B,38700,0.01,Add Long,0,0.1935,USDC,0.01,0xh9017,9017
1704128400000,BTC,A,38500,0.02,Close Long,-28,0.385,USDC,0.02,0xh9018,9018
1704132000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh9019,9019
1704135600000,BTC,B,38400,0.01,Add Long,0,0.192,USDC,0.01,0xh9020,9020
1704139200000,BTC,A,38200,0.02,Close Long,-36,0.382,USDC,0.02,0xh9021,9021
1704142800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh9022,9022
1704146400000,BTC,B,38900,0.01,Add Long,0,0.1945,USDC,0.01,0xh9023,9023
1704150000000,BTC,A,38800,0.02,Close Long,-23,0.388,USDC,0.02,0xh9024,9024
1704153600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh9025,9025
1704157200000,BTC,B,41000,0.01,Add Long,0,0.205,USDC,0.01,0xh9026,9026
1704160800000,BTC,A,42000,0.02,Close Long,30,0.42,USDC,0.02,0xh9027,9027
1704164400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh9028,9028
1704168000000,BTC,B,40500,0.01,Add Long,0,0.2025,USDC,0.01,0xh9029,9029
1704171600000,BTC,A,41000,0.02,Close Long,15,0.41,USDC,0.02,0xh9030,9030
