time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1704067200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh2001,2001
1704070800000,BTC,A,40500,0.01,Close Long,5,0.2025,USDC,0.01,0xh2002,2002
1704074400000,BTC,B,40400,0.01,Open Long,0,0.202,USDC,0,0xh2003,2003
1704078000000,BTC,A,40000,0.01,Close Long,-4,0.2,USDC,0.01,0xh2004,2004
1704078300000,BTC,B,40000,0.02,Open Long,0,0.4,USDC,0,0xh2005,2005
1704081900000,BTC,A,39900,0.02,Close Long,-2,0.399,USDC,0.02,0xh2006,2006
1704085500000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh2007,2007
1704089100000,BTC,A,40200,0.01,Close Long,2,0.201,USDC,0.01,0xh2008,2008
1704092700000,BTC,B,40200,0.01,Open Long,0,0.201,USDC,0,0xh2009,2009
1704096300000,BTC,A,39800,0.01,Close Long,-4,0.199,USDC,0.01,0xh2010,2010
1704096600000,BTC,B,39800,0.02,Open Long,0,0.398,USDC,0,0xh2011,2011
1704100200000,BTC,A,39700,0.02,Close Long,-2,0.397,USDC,0.02,0xh2012,2012
1704103800000,BTC,B,39800,0.01,Open Long,0,0.199,USDC,0,0xh2013,2013
1704107400000,BTC,A,40000,0.01,Close Long,2,0.2,USDC,0.01,0xh2014,2014
1704111000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh2015,2015
1704114600000,BTC,A,39700,0.01,Close Long,-3,0.1985,USDC,0.01,0xh2016,2016
1704114900000,BTC,B,39700,0.02,Open Long,0,0.397,USDC,0,0xh2017,2017
1704118500000,BTC,A,39800,0.02,Close Long,2,0.398,USDC,0.02,0xh2018,2018
1704122100000,BTC,B,39800,0.01,Open Long,0,0.199,USDC,0,0xh2019,2019
1704125700000,BTC,A,40100,0.01,Close Long,3,0.2005,USDC,0.01,0xh2020,2020
1704129300000,BTC,B,40100,0.01,Open Long,0,0.2005,USDC,0,0xh2021,2021
1704132900000,BTC,A,39700,0.01,Close Long,-4,0.1985,USDC,0.01,0xh2022,2022
1704133200000,BTC,B,39700,0.02,Open Long,0,0.397,USDC,0,0xh2023,2023
1704136800000,BTC,A,39800,0.02,Close Long,2,0.398,USDC,0.02,0xh2024,2024
1704140400000,BTC,B,39800,0.01,Open Long,0,0.199,USDC,0,0xh2025,2025
1704144000000,BTC,A,40000,0.01,Close Long,2,0.2,USDC,0.01,0xh2026,2026
1704147600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh2027,2027
1704151200000,BTC,A,39700,0.01,Close Long,-3,0.1985,USDC,0.01,0xh2028,2028
1704151500000,BTC,B,39700,0.02,Open Long,0,0.397,USDC,0,0xh2029,2029
1704155100000,BTC,A,39800,0.02,Close Long,2,0.398,USDC,0.02,0xh2030,2030
