time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1704067200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10001,10001
1704067260000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10002,10002
1704067800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10003,10003
1704067860000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10004,10004
1704068400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10005,10005
1704068460000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10006,10006
1704069000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10007,10007
1704069060000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10008,10008
1704069600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10009,10009
1704069660000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10010,10010
1704070200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10011,10011
1704070260000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10012,10012
1704070800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10013,10013
1704070860000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10014,10014
1704071400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10015,10015
1704071460000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10016,10016
1704072000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10017,10017
1704072060000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10018,10018
1704072600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10019,10019
1704072660000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10020,10020
1704073200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10021,10021
1704073260000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10022,10022
1704073800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10023,10023
1704073860000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10024,10024
1704074400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10025,10025
1704074460000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10026,10026
1704075000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10027,10027
1704075060000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10028,10028
1704075600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10029,10029
1704075660000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10030,10030
1704076200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10031,10031
1704076260000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10032,10032
1704076800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10033,10033
1704076860000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10034,10034
1704077400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10035,10035
1704077460000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10036,10036
1704078000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10037,10037
1704078060000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10038,10038
1704078600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10039,10039
1704078660000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10040,10040
1704079200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10041,10041
1704079260000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10042,10042
1704079800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10043,10043
1704079860000,BTC,A,39200,0.01,Close Long,-8,0.196,USDC,0.01,0xh10044,10044
1704080400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh10045,10045
