time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1704067200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3001,3001
1704070800000,BTC,A,40500,0.01,Close Long,5,0.2,USDC,0.01,0xh3002,3002
1704074400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3003,3003
1704078000000,BTC,A,39500,0.01,Close Long,-5,0.2,USDC,0.01,0xh3004,3004
1704081600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3005,3005
1704085200000,BTC,A,40500,0.01,Close Long,5,0.2,USDC,0.01,0xh3006,3006
1704088800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3007,3007
1704092400000,BTC,A,39500,0.01,Close Long,-5,0.2,USDC,0.01,0xh3008,3008
1704096000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3009,3009
1704099600000,BTC,A,40500,0.01,Close Long,5,0.2,USDC,0.01,0xh3010,3010
1704103200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3011,3011
1704106800000,BTC,A,39500,0.01,Close Long,-5,0.2,USDC,0.01,0xh3012,3012
1704110400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3013,3013
1704114000000,BTC,A,40500,0.01,Close Long,5,0.2,USDC,0.01,0xh3014,3014
1704117600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3015,3015
1704121200000,BTC,A,39500,0.01,Close Long,-5,0.2,USDC,0.01,0xh3016,3016
1704124800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3017,3017
1704128400000,BTC,A,40500,0.01,Close Long,5,0.2,USDC,0.01,0xh3018,3018
1704132000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3019,3019
1704135600000,BTC,A,39500,0.01,Close Long,-5,0.2,USDC,0.01,0xh3020,3020
1704139200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3021,3021
1704142800000,BTC,A,40500,0.01,Close Long,5,0.2,USDC,0.01,0xh3022,3022
1704146400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3023,3023
1704150000000,BTC,A,39500,0.01,Close Long,-5,0.2,USDC,0.01,0xh3024,3024
1704153600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3025,3025
1704157200000,BTC,A,40500,0.01,Close Long,5,0.2,USDC,0.01,0xh3026,3026
1704160800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3027,3027
1704164400000,BTC,A,39500,0.01,Close Long,-5,0.2,USDC,0.01,0xh3028,3028
1704168000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3029,3029
1704171600000,BTC,A,40500,0.01,Close Long,5,0.2,USDC,0.01,0xh3030,3030
1704175200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3031,3031
1704178800000,BTC,A,39500,0.01,Close Long,-5,0.2,USDC,0.01,0xh3032,3032
1704182400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3033,3033
1704186000000,BTC,A,40500,0.01,Close Long,5,0.2,USDC,0.01,0xh3034,3034
1704189600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh3035,3035
