time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1706702400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5001,5001
1706706000000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5002,5002
1706616000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5003,5003
1706619600000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5004,5004
1706529600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5005,5005
1706533200000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5006,5006
1706443200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5007,5007
1706446800000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5008,5008
1706356800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5009,5009
1706360400000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5010,5010
1706270400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5011,5011
1706274000000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5012,5012
1706184000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5013,5013
1706187600000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5014,5014
1706097600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5015,5015
1706101200000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5016,5016
1706011200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5017,5017
1706014800000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5018,5018
1705924800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5019,5019
1705928400000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5020,5020
1705838400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5021,5021
1705842000000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5022,5022
1705752000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5023,5023
1705755600000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5024,5024
1705665600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5025,5025
1705669200000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5026,5026
1705579200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5027,5027
1705582800000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5028,5028
1705492800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5029,5029
1705496400000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5030,5030
1705406400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5031,5031
1705410000000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5032,5032
1705320000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5033,5033
1705323600000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5034,5034
1705233600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5035,5035
1705237200000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5036,5036
1705147200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5037,5037
1705150800000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5038,5038
1705060800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh5039,5039
1705064400000,BTC,A,40100,0.01,Close Long,1,0.2005,USDC,0.01,0xh5040,5040
1709251200000,BTC,B,40000,0.005,Open Long,0,0.1000,USDC,0,0xh5041,5041
1709254800000,BTC,A,40100,0.005,Close Long,0.50,0.1003,USDC,0.005,0xh5042,5042
1709164800000,BTC,B,40000,0.022,Open Long,0,0.4400,USDC,0,0xh5043,5043
1709168400000,BTC,A,40100,0.022,Close Long,2.20,0.4411,USDC,0.022,0xh5044,5044
1709078400000,BTC,B,40000,0.006,Open Long,0,0.1200,USDC,0,0xh5045,5045
1709082000000,BTC,A,40100,0.006,Close Long,0.60,0.1203,USDC,0.006,0xh5046,5046
1708992000000,BTC,B,40000,0.025,Open Long,0,0.5000,USDC,0,0xh5047,5047
1708995600000,BTC,A,40100,0.025,Close Long,2.50,0.5013,USDC,0.025,0xh5048,5048
1708905600000,BTC,B,40000,0.0075,Open Long,0,0.1500,USDC,0,0xh5049,5049
1708909200000,BTC,A,40100,0.0075,Close Long,0.75,0.1504,USDC,0.0075,0xh5050,5050
1708819200000,BTC,B,40000,0.021,Open Long,0,0.4200,USDC,0,0xh5051,5051
1708822800000,BTC,A,40100,0.021,Close Long,2.10,0.4211,USDC,0.021,0xh5052,5052
1708732800000,BTC,B,40000,0.005,Open Long,0,0.1000,USDC,0,0xh5053,5053
1708736400000,BTC,A,40100,0.005,Close Long,0.50,0.1003,USDC,0.005,0xh5054,5054
1708646400000,BTC,B,40000,0.024,Open Long,0,0.4800,USDC,0,0xh5055,5055
1708650000000,BTC,A,40100,0.024,Close Long,2.40,0.4812,USDC,0.024,0xh5056,5056
1708560000000,BTC,B,40000,0.01,Open Long,0,0.2000,USDC,0,0xh5057,5057
1708563600000,BTC,A,40100,0.01,Close Long,1.00,0.2005,USDC,0.01,0xh5058,5058
1708473600000,BTC,B,40000,0.02,Open Long,0,0.4000,USDC,0,0xh5059,5059
1708477200000,BTC,A,40100,0.02,Close Long,2.00,0.4010,USDC,0.02,0xh5060,5060
1708387200000,BTC,B,40000,0.0055,Open Long,0,0.1100,USDC,0,0xh5061,5061
1708390800000,BTC,A,40100,0.0055,Close Long,0.55,0.1103,USDC,0.0055,0xh5062,5062
1708300800000,BTC,B,40000,0.0245,Open Long,0,0.4900,USDC,0,0xh5063,5063
1708304400000,BTC,A,40100,0.0245,Close Long,2.45,0.4912,USDC,0.0245,0xh5064,5064
1708214400000,BTC,B,40000,0.0078,Open Long,0,0.1560,USDC,0,0xh5065,5065
1708218000000,BTC,A,40100,0.0078,Close Long,0.78,0.1564,USDC,0.0078,0xh5066,5066
1708128000000,BTC,B,40000,0.019,Open Long,0,0.3800,USDC,0,0xh5067,5067
1708131600000,BTC,A,40100,0.019,Close Long,1.90,0.3810,USDC,0.019,0xh5068,5068
1708041600000,BTC,B,40000,0.0062,Open Long,0,0.1240,USDC,0,0xh5069,5069
1708045200000,BTC,A,40100,0.0062,Close Long,0.62,0.1243,USDC,0.0062,0xh5070,5070
1707955200000,BTC,B,40000,0.0255,Open Long,0,0.5100,USDC,0,0xh5071,5071
1707958800000,BTC,A,40100,0.0255,Close Long,2.55,0.5113,USDC,0.0255,0xh5072,5072
1707868800000,BTC,B,40000,0.0083,Open Long,0,0.1660,USDC,0,0xh5073,5073
1707872400000,BTC,A,40100,0.0083,Close Long,0.83,0.1664,USDC,0.0083,0xh5074,5074
1707782400000,BTC,B,40000,0.0215,Open Long,0,0.4300,USDC,0,0xh5075,5075
1707786000000,BTC,A,40100,0.0215,Close Long,2.15,0.4311,USDC,0.0215,0xh5076,5076
1707696000000,BTC,B,40000,0.007,Open Long,0,0.1400,USDC,0,0xh5077,5077
1707699600000,BTC,A,40100,0.007,Close Long,0.70,0.1404,USDC,0.007,0xh5078,5078
1707609600000,BTC,B,40000,0.0235,Open Long,0,0.4700,USDC,0,0xh5079,5079
1707613200000,BTC,A,40100,0.0235,Close Long,2.35,0.4712,USDC,0.0235,0xh5080,5080
