time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1704070800000,BTC,B,42000,0.01,Open Long,0,0.21,USDC,0,0xhash1001,1001
1704081600000,BTC,A,42500,0.01,Close Long,5,0.2125,USDC,0.01,0xhash1002,1002
1704157200000,ETH,B,2400,0.1,Open Long,0,0.12,USDC,0,0xhash1003,1003
1704168000000,ETH,A,2430,0.1,Close Long,3,0.1215,USDC,0.1,0xhash1004,1004
1704243600000,SOL,B,100,1.0,Open Long,0,0.05,USDC,0,0xhash1005,1005
1704254400000,SOL,A,102,1.0,Close Long,2,0.051,USDC,1.0,0xhash1006,1006
1704330000000,BTC,B,42100,0.01,Open Long,0,0.21,USDC,0,0xhash1007,1007
1704340800000,BTC,A,41900,0.01,Close Long,-2,0.2095,USDC,0.01,0xhash1008,1008
1704416400000,ETH,B,2410,0.1,Open Long,0,0.12,USDC,0,0xhash1009,1009
1704427200000,ETH,A,2440,0.1,Close Long,3,0.122,USDC,0.1,0xhash1010,1010
1704502800000,SOL,B,101,1.0,Open Long,0,0.05,USDC,0,0xhash1011,1011
1704513600000,SOL,A,103,1.0,Close Long,2,0.0515,USDC,1.0,0xhash1012,1012
1704589200000,BTC,B,42200,0.01,Open Long,0,0.21,USDC,0,0xhash1013,1013
1704600000000,BTC,A,42600,0.01,Close Long,4,0.213,USDC,0.01,0xhash1014,1014
1704675600000,ETH,B,2420,0.1,Open Long,0,0.12,USDC,0,0xhash1015,1015
1704686400000,ETH,A,2395,0.1,Close Long,-2.5,0.11975,USDC,0.1,0xhash1016,1016
1704762000000,SOL,B,102,1.0,Open Long,0,0.05,USDC,0,0xhash1017,1017
1704772800000,SOL,A,104,1.0,Close Long,2,0.052,USDC,1.0,0xhash1018,1018
1704848400000,BTC,B,42300,0.01,Open Long,0,0.21,USDC,0,0xhash1019,1019
1704859200000,BTC,A,42700,0.01,Close Long,4,0.2135,USDC,0.01,0xhash1020,1020
1704934800000,ETH,B,2430,0.1,Open Long,0,0.12,USDC,0,0xhash1021,1021
1704945600000,ETH,A,2460,0.1,Close Long,3,0.123,USDC,0.1,0xhash1022,1022
1705021200000,SOL,B,103,1.0,Open Long,0,0.05,USDC,0,0xhash1023,1023
1705032000000,SOL,A,105,1.0,Close Long,2,0.0525,USDC,1.0,0xhash1024,1024
1705107600000,BTC,B,42400,0.01,Open Long,0,0.21,USDC,0,0xhash1025,1025
1705118400000,BTC,A,42100,0.01,Close Long,-3,0.2105,USDC,0.01,0xhash1026,1026
1705194000000,ETH,B,2440,0.1,Open Long,0,0.12,USDC,0,0xhash1027,1027
1705204800000,ETH,A,2470,0.1,Close Long,3,0.1235,USDC,0.1,0xhash1028,1028
1705280400000,SOL,B,104,1.0,Open Long,0,0.05,USDC,0,0xhash1029,1029
1705291200000,SOL,A,106,1.0,Close Long,2,0.053,USDC,1.0,0xhash1030,1030
