time,coin,side,px,sz,dir,closedPnl,fee,feeToken,startPosition,hash,tid
1704067200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6001,6001
1704069000000,BTC,A,43000,0.01,Close Long,30,0.215,USDC,0.01,0xh6002,6002
1704088800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6003,6003
1704090600000,BTC,A,43000,0.01,Close Long,30,0.215,USDC,0.01,0xh6004,6004
1704110400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6005,6005
1704112200000,BTC,A,43000,0.01,Close Long,30,0.215,USDC,0.01,0xh6006,6006
1704132000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6007,6007
1704133800000,BTC,A,43000,0.01,Close Long,30,0.215,USDC,0.01,0xh6008,6008
1704153600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6009,6009
1704155400000,BTC,A,43000,0.01,Close Long,30,0.215,USDC,0.01,0xh6010,6010
1704175200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6011,6011
1704177000000,BTC,A,43000,0.01,Close Long,30,0.215,USDC,0.01,0xh6012,6012
1704196800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6013,6013
1704198600000,BTC,A,43000,0.01,Close Long,30,0.215,USDC,0.01,0xh6014,6014
1704218400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6015,6015
1704220200000,BTC,A,43000,0.01,Close Long,30,0.215,USDC,0.01,0xh6016,6016
1704240000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6017,6017
1704241800000,BTC,A,43000,0.01,Close Long,30,0.215,USDC,0.01,0xh6018,6018
1704261600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6019,6019
1704263400000,BTC,A,43000,0.01,Close Long,30,0.215,USDC,0.01,0xh6020,6020
1704283200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6021,6021
1704297600000,BTC,A,34000,0.01,Close Long,-60,0.17,USDC,0.01,0xh6022,6022
1704312000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6023,6023
1704326400000,BTC,A,34000,0.01,Close Long,-60,0.17,USDC,0.01,0xh6024,6024
1704340800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6025,6025
1704355200000,BTC,A,34000,0.01,Close Long,-60,0.17,USDC,0.01,0xh6026,6026
1704369600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6027,6027
1704384000000,BTC,A,34000,0.01,Close Long,-60,0.17,USDC,0.01,0xh6028,6028
1704398400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6029,6029
1704412800000,BTC,A,34000,0.01,Close Long,-60,0.17,USDC,0.01,0xh6030,6030
1704427200000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6031,6031
1704441600000,BTC,A,34000,0.01,Close Long,-60,0.17,USDC,0.01,0xh6032,6032
1704456000000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6033,6033
1704470400000,BTC,A,34000,0.01,Close Long,-60,0.17,USDC,0.01,0xh6034,6034
1704484800000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6035,6035
1704499200000,BTC,A,34000,0.01,Close Long,-60,0.17,USDC,0.01,0xh6036,6036
1704513600000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6037,6037
1704528000000,BTC,A,34000,0.01,Close Long,-60,0.17,USDC,0.01,0xh6038,6038
1704542400000,BTC,B,40000,0.01,Open Long,0,0.2,USDC,0,0xh6039,6039
1704556800000,BTC,A,34000,0.01,Close Long,-60,0.17,USDC,0.01,0xh6040,6040
